Sample in Buffer,Sample in Window,TRIGGER,UART_Transfer_i/clock_out_top_0/U0/fifo_count_slv[3:0],UART_Transfer_i/clock_out_top_0/U0/glitching_done,UART_Transfer_i/clock_out_top_0/U0/tdc_code[7:0],UART_Transfer_i/clock_out_top_0/U0/gpio_latched[15:0],UART_Transfer_i/clock_out_top_0/U0/display_ptr_slv[2:0],UART_Transfer_i/clock_out_top_0/U0/tdc_code_latched[7:0],UART_Transfer_i/clock_out_top_0/U0/glitch_fifo_debug[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
395,395,0,7,0,01,0000,5,01,0080
396,396,0,7,0,01,0000,5,01,0080
397,397,0,7,0,01,0000,5,01,0080
398,398,0,7,0,01,0000,5,01,0080
399,399,0,7,0,01,0000,5,01,0080
400,400,0,7,0,01,0000,5,01,0080
401,401,0,7,0,01,0000,5,01,0080
402,402,0,7,0,01,0000,5,01,0080
403,403,0,7,0,01,0000,5,01,0080
404,404,0,7,0,01,0000,5,01,0080
405,405,0,7,0,01,0000,5,01,0080
406,406,0,7,0,01,0000,5,01,0080
407,407,0,7,0,01,0000,5,01,0080
408,408,0,7,0,01,0000,5,01,0080
409,409,0,7,0,01,0000,5,01,0080
410,410,0,7,0,01,0000,5,01,0080
411,411,0,7,0,01,0000,5,01,0080
412,412,0,7,0,01,0000,5,01,0080
413,413,0,7,0,01,0000,5,01,0080
414,414,0,7,0,01,0000,5,01,0080
415,415,0,7,0,01,0000,5,01,0080
416,416,0,7,0,01,0000,5,01,0080
417,417,0,7,0,01,0000,5,01,0080
418,418,0,7,0,01,0000,5,01,0080
419,419,0,7,0,01,0000,5,01,0080
420,420,0,7,0,01,0000,5,01,0080
421,421,0,7,0,01,0000,5,01,0080
422,422,0,7,0,01,0000,5,01,0080
423,423,0,7,0,01,0000,5,01,0080
424,424,0,7,0,01,0000,5,01,0080
425,425,0,7,0,01,0000,5,01,0080
426,426,0,7,0,01,0000,5,01,0080
427,427,0,7,0,01,0000,5,01,0080
428,428,0,7,0,01,0000,5,01,0080
429,429,0,7,0,01,0000,5,01,0080
430,430,0,7,0,01,0000,5,01,0080
431,431,0,7,0,01,0000,5,01,0080
432,432,0,7,0,01,0000,5,01,0080
433,433,0,7,0,01,0000,5,01,0080
434,434,0,7,0,01,0000,5,01,0080
435,435,0,7,0,01,0000,5,01,0080
436,436,0,7,0,01,0000,5,01,0080
437,437,0,7,0,01,0000,5,01,0080
438,438,0,7,0,01,0000,5,01,0080
439,439,0,7,0,01,0000,5,01,0080
440,440,0,7,0,01,0000,5,01,0080
441,441,0,7,0,01,0000,5,01,0080
442,442,0,7,0,01,0000,5,01,0080
443,443,0,7,0,01,0000,5,01,0080
444,444,0,7,0,01,0000,5,01,0080
445,445,0,7,0,01,0000,5,01,0080
446,446,0,7,0,01,0000,5,01,0080
447,447,0,7,0,01,0000,5,01,0080
448,448,0,7,0,01,0000,5,01,0080
449,449,0,7,0,01,0000,5,01,0080
450,450,0,7,0,01,0000,5,01,0080
451,451,0,7,0,01,0000,5,01,0080
452,452,0,7,0,01,0000,5,01,0080
453,453,0,7,0,01,0000,5,01,0080
454,454,0,7,0,01,0000,5,01,0080
455,455,0,7,0,01,0000,5,01,0080
456,456,0,7,0,01,0000,5,01,0080
457,457,0,7,0,01,0000,5,01,0080
458,458,0,7,0,01,0000,5,01,0080
459,459,0,7,0,01,0000,5,01,0080
460,460,0,7,0,01,0000,5,01,0080
461,461,0,7,0,01,0000,5,01,0080
462,462,0,7,0,01,0000,5,01,0080
463,463,0,7,0,01,0000,5,01,0080
464,464,0,7,0,01,0000,5,01,0080
465,465,0,7,0,01,0000,5,01,0080
466,466,0,7,0,01,0000,5,01,0080
467,467,0,7,0,01,0000,5,01,0080
468,468,0,7,0,01,0000,5,01,0080
